No,Jenis Bencana,Pertanyaan
1,Banjir,Apa yang harus dilakukan saat terjadi banjir?
2,Banjir,Bagaimana cara mempersiapkan diri sebelum banjir terjadi?
3,Banjir,Apa yang dilakukan pasca bencana banjir?
4,Banjir,Apa itu banjir?
5,Banjir,Apa penyebab banjir di Kabupaten Bogor?
6,Banjir,Apa yang dimaksud dengan daerah rawan banjir?
7,Banjir,Bagaimana cara mencegah banjir di lingkungan sekitar?
8,Banjir,Apa itu sistem peringatan dini banjir?
9,Banjir,Apa yang harus dilakukan saat banjir mulai datang?
10,Banjir,Apakah boleh menerobos banjir dengan kendaraan?
11,Banjir,Apa bahaya yang mengintai saat banjir?
12,Banjir,Bagaimana cara menyelamatkan diri jika terjebak banjir di dalam rumah?
13,Banjir,Apa yang harus dilakukan setelah banjir surut?
14,Banjir,Penyakit apa yang sering muncul setelah banjir?
15,Banjir,Bagaimana cara memastikan air minum aman setelah banjir?
16,Tanah Longsor,Bagaimana cara mitigasi tanah longsor?
17,Tanah Longsor,Apa yang harus dilakukan saat terjadi tanah longsor?
18,Tanah Longsor,Apa yang dilakukan setelah tanah longsor?
19,Tanah Longsor,Apa itu tanah longsor?
20,Tanah Longsor,Mengapa Kabupaten Bogor sangat rawan longsor?
21,Tanah Longsor,Apa tanda-tanda akan terjadi tanah longsor?
22,Tanah Longsor,Apa upaya pencegahan longsor yang bisa dilakukan masyarakat?
23,Tanah Longsor,Kapan waktu paling rawan terjadinya longsor di Bogor?
24,Tanah Longsor,Ke arah mana harus berlari saat ada longsor?
25,Tanah Longsor,Apa yang harus dilakukan jika tertimbun longsor?
26,Tanah Longsor,Bagaimana cara menolong korban longsor?
27,Tanah Longsor,Apa yang harus diwaspadai setelah longsor?
28,Tanah Longsor,Apakah warga boleh kembali ke rumah setelah longsor?
29,Gempa Bumi,Apa langkah evakuasi saat gempa bumi?
30,Gempa Bumi,Apa yang harus dilakukan setelah gempa bumi?
31,Gempa Bumi,Bagaimana cara mempersiapkan diri sebelum gempa bumi?
32,Gempa Bumi,Apa itu gempa bumi?
33,Gempa Bumi,Apa penyebab gempa bumi?
34,Gempa Bumi,Apa saja yang harus ada dalam tas darurat gempa?
35,Gempa Bumi,Apakah Kabupaten Bogor rawan gempa bumi?
