source_label,source,relationship,target_label,target
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Awan gelap
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Udara terasa panas
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Bangunan kokoh
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Papan reklame
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Angin Puting Beliung
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Infrastruktur
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Bogor
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Angin Kencang
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Rumah
Dokumen,Angin_Kencang.pdf,MEMBAHAS,Entitas,Pohon besar
Entitas,Awan gelap,MENYEBABKAN,Entitas,Angin Kencang
Entitas,Udara terasa panas,MENYEBABKAN,Entitas,Angin Kencang
Entitas,Papan reklame,MENJADI,Entitas,Bahaya
Entitas,Angin Puting Beliung,KARAKTERISTIK,Entitas,Angin Kencang
Entitas,Bogor,TERJADI_DI,Entitas,banjir
Entitas,Angin Kencang,TERJADI_DI,Entitas,Bogor
Entitas,Angin Kencang,BERDAMPAK_PADA,Entitas,Infrastruktur
Entitas,Angin Kencang,BERDAMPAK_PADA,Entitas,Rumah
Entitas,Angin Kencang,MEMBUTUHKAN,Entitas,Bangunan kokoh
Entitas,Angin Kencang,MENCUGA,Entitas,Angin Puting Beliung
Entitas,Rumah,MENGGUNAKAN,Entitas,Fondasi
Entitas,Pohon besar,MENJADI,Entitas,Bahaya
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Bogor
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,sumur gali
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,air
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,jamban
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,banjir
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,jalan
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,dokumen
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,sukarelawan
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,sisa-sisa kotoran
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,penampungan air
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,air minum
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,arus air
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,gedung/rumah
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Tangerang
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,kawasan resapan air
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Saluran Pembuangan Air Limbah (SPAL)
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Bekasi
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,wilayah
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,BPBD
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,erosi
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,berita
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,asuransi banjir
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,curah hujan
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,orang
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,zona rawan banjir
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Depok
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,arus banjir
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,kehidupan perkotaan
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,lingkungan rumah
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Surabaya
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,instrumen listrik
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,harta
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,saluran air
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,pihak yang berwenang
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,alih fungsi lahan
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Siaga IV
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,hunian
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,bencana
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,sarang nyamuk
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,bantuan perumahan/shelter
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Bandung
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Siaga I
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,bantaran sungai
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,rumah
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,evakuasi
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,wilayah banjir
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,fasilitas kesehatan terdekat
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,dampaknya
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,air banjir
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,sampah
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,penggundulan hutan
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,makanan
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,saluran air banjir
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Jakarta
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,sungai
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,pakaian
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,daerah yang lebih tinggi
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,bangunan rumah
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,perabot
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,rute evakuasi
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,listrik
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,PetaBencana.id
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,tempat tinggal
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,Pemberantasan Sarang Nyamuk (PSN)
Dokumen,Banjir.pdf,MEMBAHAS,Entitas,tas siaga bencana
Entitas,sumur gali,TERJADI_DI,Entitas,fasilitas kesehatan terdekat
Entitas,banjir,TERJADI_DI,Entitas,wilayah
Entitas,banjir,BERDAMPAK_PADA,Entitas,sisa-sisa kotoran
Entitas,banjir,MENGHASILKAN,Entitas,arus air
Entitas,banjir,MENGHARUSKAN,Entitas,langkah antisipasi
Entitas,banjir,MENCIPTA,Entitas,Siaga IV
Entitas,banjir,MENCIPTA,Entitas,Siaga I
Entitas,banjir,MENGHANTAM,Entitas,kehidupan perkotaan
Entitas,jalan,BERDAMPAK_PADA,Entitas,risiko kecelakaan
Entitas,jalan,KEROPOS,Entitas,air banjir
Entitas,dokumen,TERJADI_DI,Entitas,tempat yang aman
Entitas,dokumen,MELIBATKAN,Entitas,simpan dokumen di tempat yang aman
Entitas,dokumen,MENYIMPAN,Entitas,tempat yang aman
Entitas,dokumen,MENDOKUMENTASIKAN,Entitas,harta
Entitas,sukarelawan,MEMBUTUHKAN,Entitas,pihak yang berwenang
Entitas,penampungan air,BERJAGA_JAGA,Entitas,kehabisan air bersih
Entitas,Tangerang,TERJADI_DI,Entitas,banjir
Entitas,kawasan resapan air,BERDAMPAK_PADA,Entitas,banjir
Entitas,Bekasi,TERJADI_DI,Entitas,banjir
Entitas,BPBD,DIKELOLA_OLEH,Entitas,informasi
Entitas,erosi,BERDAMPAK_PADA,Entitas,sungai
Entitas,berita,MENGENAI,Entitas,kondisi air
Entitas,curah hujan,BERDAMPAK_PADA,Entitas,longsor
Entitas,curah hujan,MENCIPTA,Entitas,banjir
Entitas,orang,HARUS,Entitas,evakuasi
Entitas,orang,HARUS,Entitas,amankan rumah
Entitas,orang,HARUS,Entitas,tidak berjalan di arus air
Entitas,orang,HARUS,Entitas,mematikan semua jaringan listrik
Entitas,orang,HARUS,Entitas,cabut alat-alat yang masih tersambung dengan listrik
Entitas,orang,MEMBUTUHKAN,Entitas,perawatan kesehatan
Entitas,orang,MELIBATKAN,Entitas,jamban
Entitas,orang,MELIBATKAN,Entitas,SPAL
Entitas,Depok,TERJADI_DI,Entitas,banjir
Entitas,Surabaya,TERJADI_DI,Entitas,banjir
Entitas,instrumen listrik,MEMICU,Entitas,bahaya
Entitas,harta,MEMBUTUHKAN,Entitas,catatan
Entitas,harta,MEMBUTUHKAN,Entitas,membuat catatan
Entitas,saluran air,MELINTASI,Entitas,arus banjir
Entitas,pihak yang berwenang,PERINTAH,Entitas,kembali ke rumah
Entitas,hunian,MELIBATKAN,Entitas,banjir
Entitas,bencana,MENCIPTA,Entitas,air banjir
Entitas,Bandung,TERJADI_DI,Entitas,banjir
Entitas,bantaran sungai,MELIBATKAN,Entitas,banjir
Entitas,rumah,TERJADI_DI,Entitas,zona rawan banjir
Entitas,rumah,TERJADI_DI,Entitas,udara
Entitas,rumah,BERDAMPAK_PADA,Entitas,tetap berada di bawah meja yang kuat
Entitas,rumah,MEMBUTUHKAN,Entitas,catatan harta
Entitas,rumah,MENGHARUSKAN,Entitas,mematikan air
Entitas,rumah,MENGHARUSKAN,Entitas,mematikan listrik
Entitas,rumah,MENGHARUSKAN,Entitas,mematikan gas
Entitas,rumah,MELIBATKAN,Entitas,asuransi banjir
Entitas,rumah,MELINDUNGI_DARI,Entitas,banjir
Entitas,rumah,TERKENA,Entitas,bencana
Entitas,rumah,MELINDUNGI,Entitas,kepala
Entitas,evakuasi,TERJADI_DI,Entitas,tempat tinggi
Entitas,evakuasi,MELIBATKAN,Entitas,daerah yang lebih tinggi
Entitas,evakuasi,MELIBATKAN,Entitas,rute evakuasi
Entitas,wilayah banjir,TERJADI_DI,Entitas,air banjir
Entitas,air banjir,BERDAMPAK_PADA,Entitas,gedung/rumah
Entitas,air banjir,MEMBUTUHKAN,Entitas,mencuci tangan
Entitas,air banjir,MENGONTAMINASI,Entitas,makanan
Entitas,sampah,MELIBATKAN,Entitas,banjir
Entitas,penggundulan hutan,BERDAMPAK_PADA,Entitas,banjir
Entitas,saluran air banjir,MELINTASI,Entitas,dampaknya
Entitas,Jakarta,TERJADI_DI,Entitas,banjir
Entitas,pakaian,MENGHARUSKAN,Entitas,melindungi tubuh
Entitas,pakaian,MENDAPATKAN,Entitas,bantuan perumahan/shelter
Entitas,bangunan rumah,MEMBUTUHKAN,Entitas,penguatan
Entitas,bangunan rumah,MEMBUTUHKAN,Entitas,peninggian
Entitas,bangunan rumah,MENGHINDARI,Entitas,zona rawan banjir
Entitas,perabot,DITEMPATKAN,Entitas,tempat yang aman dari banjir
Entitas,PetaBencana.id,MEMETAKKAN,Entitas,informasi
Entitas,tempat tinggal,TERJADI_DI,Entitas,lingkungan rumah
Entitas,tas siaga bencana,MENYEDIAKAN,Entitas,air minum
Entitas,tas siaga bencana,MENYEDIAKAN,Entitas,makanan
Entitas,barang yang lebih berharga,DITEMPATKAN,Entitas,bagian yang lebih tinggi di dalam rumah
Entitas,mobil,MENGHARUSKAN,Entitas,berhentilah
Entitas,mobil,MENYAPU,Entitas,arus banjir
Entitas,area,BARU_SAJA_SURUT,Entitas,air banjir
